epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,28975.3,1.11955,0.5481,1.04124,0.95427,0.94796,0.97554,0.74829,1.01268,0.4298,1.00176,0.003961,0.003961,0.003961
63,29475.3,1.11888,0.54939,1.04159,0.95419,0.94808,0.97555,0.74859,1.01176,0.42918,1.0013,0.003862,0.003862,0.003862
64,29969.8,1.11667,0.54495,1.04063,0.9541,0.94859,0.97574,0.74904,1.01105,0.42868,1.00098,0.003763,0.003763,0.003763
65,30467.3,1.109,0.54274,1.03938,0.95393,0.94904,0.97575,0.74935,1.0102,0.42811,1.00059,0.003664,0.003664,0.003664
66,30961,1.11168,0.54116,1.03578,0.95432,0.94924,0.97586,0.75003,1.00952,0.42749,1.00019,0.003565,0.003565,0.003565
67,31458,1.10643,0.53892,1.03629,0.95362,0.95012,0.97602,0.75025,1.00879,0.42691,0.99988,0.003466,0.003466,0.003466
68,31955.8,1.10835,0.53983,1.03613,0.95422,0.94983,0.97606,0.75069,1.00792,0.42646,0.99948,0.003367,0.003367,0.003367
69,32449.1,1.1035,0.53522,1.03422,0.95468,0.94998,0.97624,0.75103,1.00727,0.42581,0.99914,0.003268,0.003268,0.003268
70,32945.8,1.10161,0.53534,1.03277,0.95484,0.95005,0.97631,0.75136,1.00651,0.42521,0.9988,0.003169,0.003169,0.003169
71,33441.3,1.09826,0.53483,1.03127,0.95423,0.95047,0.97638,0.75159,1.00565,0.42458,0.99839,0.00307,0.00307,0.00307
72,33943.5,1.09337,0.52833,1.02976,0.95405,0.95058,0.97642,0.75197,1.00479,0.42409,0.99796,0.002971,0.002971,0.002971
73,34442.5,1.09054,0.5247,1.0282,0.95397,0.95165,0.97648,0.75186,1.00398,0.42354,0.99757,0.002872,0.002872,0.002872
74,34946.9,1.09292,0.52457,1.0293,0.95416,0.95158,0.9766,0.75237,1.00323,0.42285,0.99717,0.002773,0.002773,0.002773
